Booking_ID,no_of_adults,no_of_children,no_of_weekend_nights,no_of_week_nights,type_of_meal_plan,required_car_parking_space,room_type_reserved,lead_time,arrival_year,arrival_month,arrival_date,market_segment_type,repeated_guest,no_of_previous_cancellations,no_of_previous_bookings_not_canceled,avg_price_per_room,no_of_special_requests,booking_status
4,2,0,0,1.0013547198921082,1,0,1,1.0872186994362991,2018,5,20,2,0,0,0,3.1622776601683795,0,0
5,2,0,1,1.0,0,0,1,1.062354334838702,2018,4,11,2,0,0,0,3.117869632876235,0,0
6,2,0,0,1.0013547198921082,2,0,1,1.0956530803158373,2018,9,13,2,0,0,0,3.2747221706220526,1,0
13,2,0,2,1.0,0,0,1,1.0545811871312345,2018,11,26,2,0,0,0,3.062814313608786,0,0
16,2,0,0,1.0013547198921082,2,0,1,1.0905077326652577,2018,6,15,2,0,0,0,3.2747221706220526,1,0
39,2,0,2,1.0021480308461783,0,0,1,1.0898980859701808,2018,11,19,2,0,0,0,2.825660933540268,0,0
44,2,0,1,1.0,0,0,1,1.0597410263840643,2018,6,27,2,0,0,0,3.147148616054143,1,0
52,2,0,2,1.0013547198921082,2,0,1,1.083454629849435,2018,4,22,2,0,0,0,3.208680436096278,0,0
74,2,0,0,1.0013547198921082,1,0,1,1.084237895325059,2018,6,3,2,0,0,0,3.1622776601683795,0,0
95,2,0,2,1.0031483791904372,1,0,1,1.0836538149077677,2018,8,30,2,0,0,0,3.2501718115914677,0,0
97,2,0,0,1.0013547198921082,2,0,1,1.0943165526350405,2018,8,18,2,0,0,0,3.2747221706220526,1,0
111,2,0,0,1.0013547198921082,1,0,1,1.0847099287617856,2018,9,30,2,0,0,0,3.295174751437671,2,0
119,2,0,0,1.0,1,0,1,1.0998920379363344,2018,4,29,2,0,0,0,2.8394115144336776,0,0
121,2,0,0,1.0021480308461783,1,0,1,1.094155508072848,2018,9,1,2,0,0,0,3.2101928948881877,1,0
123,2,0,1,1.0021480308461783,1,0,1,1.0681517387138426,2018,3,10,2,0,0,0,2.932476527612365,0,0
133,2,0,2,1.0027112750502023,0,0,1,1.0925756790190326,2018,12,28,2,0,0,0,2.898172655452653,2,0
142,2,0,0,1.0013547198921082,1,0,1,1.0897596415005024,2018,6,17,2,0,0,0,2.942830956382712,0,0
143,2,0,0,1.0013547198921082,1,0,1,1.0381778546271243,2018,11,18,2,0,0,0,3.245867180408456,1,0
159,2,0,0,1.0,0,0,1,1.0551216307257147,2018,4,14,2,0,0,0,3.117869632876235,0,0
169,2,0,1,1.0013547198921082,1,0,1,1.0920357201518764,2018,9,19,2,0,0,0,3.238531840464366,0,0
171,2,0,0,1.0013547198921082,1,0,1,1.094155508072848,2018,9,15,2,0,0,0,3.309750919646873,0,0
172,2,0,1,1.0013547198921082,0,0,1,1.084987059037427,2018,12,16,2,0,0,0,2.983192616059981,0,0
180,2,0,0,1.0013547198921082,2,0,1,1.0927519925212432,2018,7,21,2,0,0,0,3.2747221706220526,0,0
183,2,0,0,1.0,0,0,1,1.076055790884512,2018,10,11,2,0,0,0,3.2237097954706257,0,0
185,2,0,1,1.0031483791904372,1,0,1,1.085966682073163,2018,8,22,2,0,0,0,3.1579205314821963,0,0
189,2,0,2,1.0021480308461783,1,0,1,1.0933835637053846,2018,8,19,2,0,0,0,2.971827866200841,0,0
191,2,0,1,1.0013547198921082,1,0,1,1.064311249351468,2018,10,10,2,0,0,0,3.3014453311770846,0,0
193,2,0,0,1.0027112750502023,1,0,1,1.0720783809182668,2018,4,6,2,0,0,0,3.0326124962373173,0,0
194,2,0,1,1.0013547198921082,2,0,1,1.0826339809895424,2018,3,25,2,0,0,0,3.3766483753851806,0,0
200,2,0,1,1.0013547198921082,2,0,1,1.09889419552933,2018,9,26,2,0,0,0,3.216221452697031,0,0
203,2,0,2,1.0013547198921082,0,0,1,1.0872186994362991,2018,12,16,2,0,0,0,2.825660933540268,0,0
204,2,0,1,1.0013547198921082,1,0,1,1.091603806358766,2018,5,13,2,0,0,0,3.1219856413521447,0,0
206,2,0,0,1.0021480308461783,1,0,1,1.0994997207131378,2018,9,8,2,0,0,0,2.892507608519078,0,0
238,2,0,1,1.0021480308461783,1,0,1,1.0575897342418854,2018,12,26,2,0,0,0,3.1779718278112656,0,0
240,2,0,1,0.0,0,0,1,1.0551216307257147,2018,4,24,2,0,0,0,3.117869632876235,0,0
249,2,0,1,1.0013547198921082,1,0,1,1.0487203043197235,2018,8,15,2,0,0,0,3.505453712067028,0,0
253,2,0,0,1.0027112750502023,0,0,1,1.084237895325059,2018,7,26,2,0,0,0,2.9976825011674797,1,0
269,2,0,0,1.0021480308461783,1,0,1,1.09332708868877,2018,12,29,2,0,0,0,3.082633811298981,2,0
272,2,0,2,1.0027112750502023,1,0,1,1.053444946802602,2018,8,28,2,0,0,0,3.277353014235218,1,0
273,2,0,1,1.0013547198921082,2,0,1,1.0826339809895424,2018,3,25,2,0,0,0,3.3766483753851806,0,0
